Unit,PlantGroup,Specie,Tto,DroughtNum,Sp,Specie_number,tto_number,ST,Pot,PotN,pH,rootN,rootC,leafN,leafC,soilN,soilC,WSA,shootmass,LDMC,SLA,rootmass,diameter,RTD,SRL,SRSA,PathogensOLD,SaprotrophsOLD,MutualistsOLD,MIXOLD,S_Patho,S_Sapro,S_Mutual,PCo1_Patho,PCo2_Patho,PCo1_Sapro,PCo2_Sapro,PCo1_Mutual_EMF,PCo2_Mutual_EMF,PCo1_Mutual,PCo2_Mutual,SpecieY,Pathogens2,Saprotrophs2,Mutualists2,S_ALL,PCo1_ALL_EMF,PCo2_ALL_EMF,PCo1_ALL,PCo2_ALL,Speciex,Ttox,Phylog_1,Phylog_2,Phylog_3,Phylog_4,CP1_leaft,CP2_leaft,CP1_soilprop,CP2_soilprop,CP1_root,CP2_root,ID_phase1
,Grasses,G_F.brevipila,Control,0,F.brevipila,4,500,F.brevipila_Control,31m,31,6.87,5.75,432.07,10.55,447.57,0.6,7.12,87.77,5772.3,290.85,227.6,3264.3,0.34,125.77,8.81,0.94,23.09344791,34.3179377,20.83780881,21.75080559,6,24,6,-0.028670629,-0.040299823,-0.022257041,-0.008127899,0.000658011,-0.019095473,0.0034,0.0152,G_F.brevipila,5.832881172,8.667932718,5.222463375,144,-0.00023,-0.0108,0.00012,-0.0096,G_F.brevipila,Control,-167.7403378,1.256116613,2.115435084,5.521280146,0.31,0.23,-0.75,2.67,0.67,-0.05,
,Grasses,G_F.brevipila,Control,0,F.brevipila,4,500,F.brevipila_Control,32m,32,6.92,7.31,381.37,9.49,438.45,0.62,7.66,54.36,4433,323.05,146.34,3926.7,0.24,228.38,9.7,0.73,21.00572884,34.18204965,26.98917887,17.82304265,8,14,6,0.002401484,0.025312623,-0.004131034,0.003289708,-0.002300031,-0.013618589,-0.00243,-0.01647,G_F.brevipila,4.222648752,6.871401152,5.425463852,101,0.00286,-0.00217,0.00287,-0.00225,G_F.brevipila,Control,-167.7403378,1.256116613,2.115435084,5.521280146,-0.08,-0.08,-0.37,1.5,0.76,0.12,
,Grasses,G_F.brevipila,Control,0,F.brevipila,4,500,F.brevipila_Control,33m,33,6.93,7.03,375.15,17.45,458.4,0.69,8.85,21.56,4873.3,273.81,111,2895.4,0.21,471.96,6.13,0.4,12.27115289,53.09252845,12.37011381,22.26620485,9,32,5,0.01014512,-0.059611592,0.029580486,0.00118461,0.004950352,0.017589428,0.00518,0.01712,G_F.brevipila,3.186841429,13.78822925,3.212541763,151,-0.00382,0.01452,-0.00387,0.01456,G_F.brevipila,Control,-167.7403378,1.256116613,2.115435084,5.521280146,0.73,-0.23,0.4,0.24,0.06,0.29,
,Grasses,G_F.brevipila,Control,0,F.brevipila,4,500,F.brevipila_Control,35m,35,6.96,6.93,447.51,8.87,437.45,0.57,7.01,53.75,5220.5,256.16,269.15,2514.7,0.22,155.66,16.27,1.15,15.84492204,50.65318163,8.891698272,24.61019806,9,30,7,0.051112679,-0.055036939,-0.002362752,0.000430272,-0.004561665,-0.033761132,-0.00476,-0.03717,G_F.brevipila,4.920177964,15.72886679,2.761057315,149,-0.00511,0.00384,-0.00517,0.00386,G_F.brevipila,Control,-167.7403378,1.256116613,2.115435084,5.521280146,0,0.18,-0.77,1.58,1.11,-0.48,
,Grasses,G_F.brevipila,Drought,1,F.brevipila,4,1000,F.brevipila_Drought,36m,36,6.76,6.69,373.83,9.72,448.12,0.59,7.9,27.42,4238.1,397.41,122.05,2752.3,0.23,181.47,12.8,0.94,0,100,0,0,0,2,0,-0.004556361,0.014835102,-0.004588261,-0.004207413,-0.005436444,0.022184183,-0.00594,0.02169,G_F.brevipila,0,12.25165563,0,8,0.0011,0.00365,0.00109,0.0036,G_F.brevipila,Drought,-167.7403378,1.256116613,2.115435084,5.521280146,0.01,-0.23,-0.31,-0.08,1.06,-0.33,
,Grasses,G_F.brevipila,Drought,1,F.brevipila,4,1000,F.brevipila_Drought,37m,37,6.9,7.01,354.41,8.34,445.73,0.61,6.96,31.74,3706.4,369.68,73.47,1704.573,0.22,158.69,16.03,1.13,35.63829787,18.21808511,30.31914894,15.82446809,6,8,6,0.001098358,0.03077906,-0.007925751,-0.001135871,0.001182393,0.015792614,0.00121,0.01525,G_F.brevipila,7.037815126,3.597689076,5.987394958,73,0.00425,0.00053,0.00427,0.00047,G_F.brevipila,Drought,-167.7403378,1.256116613,2.115435084,5.521280146,-0.19,-0.36,-0.57,0.51,1.31,-0.76,
,Grasses,G_F.brevipila,Drought,1,F.brevipila,4,1000,F.brevipila_Drought,38m,38,6.45,11.88,360.35,14.23,432.84,0.65,7.43,23.06,2379.3,337.78,154.39,590.967,0.19,191.79,17.66,1.08,13.20850202,51.01214575,6.882591093,28.89676113,9,33,4,0.011102126,0.021780546,-0.009340071,0.002768815,0.001315385,0.023648279,0.00131,0.0236,G_F.brevipila,3.378640777,13.04854369,1.760517799,157,-0.0015,0.01023,-0.00153,0.01027,G_F.brevipila,Drought,-167.7403378,1.256116613,2.115435084,5.521280146,-0.18,-0.7,-0.24,-1.22,0.88,-1.34,
,Grasses,G_F.brevipila,Drought,1,F.brevipila,4,1000,F.brevipila_Drought,39m,39,6.39,6.7,451.6,27.39,453.7,0.59,6.66,27.81,1685.4,296.65,196.65,263.48,0.21,169.09,17.29,1.13,27.10223835,19.84271022,22.20205687,30.85299456,7,14,5,0.00617669,0.035737332,-0.011833169,-0.001304056,0.001661895,0.020667048,0.00171,0.02044,G_F.brevipila,5.788113695,4.237726098,4.741602067,102,0.00411,-0.00288,0.00413,-0.00296,G_F.brevipila,Drought,-167.7403378,1.256116613,2.115435084,5.521280146,0.78,-1.26,-0.74,-1.23,0.84,-1.09,
,Grasses,G_F.brevipila,Drought,1,F.brevipila,4,1000,F.brevipila_Drought,40m,40,6.36,9.54,414.35,9.79,446.84,0.7,8.05,15.02,3757.9,341.18,150.22,3041.28,0.23,201.92,12.27,0.87,10.13071895,71.0375817,6.413398693,12.41830065,8,38,5,0.001841055,0.024020055,0.045743157,0.000563124,-0.004317887,0.018603933,-0.00484,0.018,G_F.brevipila,3.200412957,22.44160537,2.02606788,142,-0.00268,0.01278,-0.00272,0.01278,G_F.brevipila,Drought,-167.7403378,1.256116613,2.115435084,5.521280146,-0.08,-0.37,0.18,-1.8,0.67,-0.35,
,Herbs,H_Achillea,Control,0,Achillea,5,500,Achillea_Control,41m,41,6.5,11.28,409.31,11.1,360.77,0.61,7.5,48.84,2290,199.14,148.33,2989.18,0.23,310.23,7.94,0.57,24.10617551,34.07367281,16.14301192,25.67713976,5,14,6,-0.026206261,0.002484972,-0.019182631,-0.006532454,-0.000129746,-0.002057135,-0.00018,-0.00371,H_Achillea,6.036353771,8.532284319,4.042322301,91,0.00109,-0.01047,0.00109,-0.01058,H_Achillea,Control,95.88596035,96.41073678,76.29374266,14.23230035,-1.22,0.03,-0.45,-0.03,0.06,-0.21,
,Herbs,H_Achillea,Control,0,Achillea,5,500,Achillea_Control,42m,42,6.49,10.62,417.32,15.88,367.98,0.59,7.02,69.88,2209.5,196.32,134.72,277.7,0.34,462.72,2.38,0.26,26.27427184,25,22.3907767,26.33495146,9,26,6,-0.033750684,-0.020376795,-0.020761067,0.008316138,0.005436467,0.01707838,0.00572,0.01673,H_Achillea,5.672736801,5.397615616,4.834272239,136,0.00297,-0.01347,0.00298,-0.01356,H_Achillea,Control,95.88596035,96.41073678,76.29374266,14.23230035,-0.84,-0.11,-0.76,0.78,-1.19,-0.47,
,Herbs,H_Achillea,Control,0,Achillea,5,500,Achillea_Control,43m,43,6.47,10.08,445.91,19.92,399.93,0.71,8.68,56.88,2624.1,154.88,147.05,646.1,0.21,465.46,6.3,0.41,12.21276596,48.85106383,20.5106383,18.42553191,10,26,6,-0.021770566,-0.025029474,-0.026672794,-0.005198656,-0.003138527,-0.027307982,-0.00333,-0.03032,H_Achillea,3.689894574,14.7595783,6.196965801,137,-0.00362,-0.01479,-0.00367,-0.01486,H_Achillea,Control,95.88596035,96.41073678,76.29374266,14.23230035,-0.15,-0.35,0.28,0.24,-0.6,-0.51,
,Herbs,H_Achillea,Control,0,Achillea,5,500,Achillea_Control,44m,44,6.29,13.21,413.76,12.24,314.5,0.64,6.9,47.43,2086.8,183,130.39,666.58,0.25,469.56,4.32,0.34,25.23734177,25.07911392,12.10443038,37.57911392,7,20,5,-0.001267775,0.01887995,-0.006921796,-0.007617934,-0.00142236,0.0127706,-0.00166,0.01166,H_Achillea,4.379461834,4.352004393,2.100494234,131,-0.0001,-0.00374,-0.00011,-0.0038,H_Achillea,Control,95.88596035,96.41073678,76.29374266,14.23230035,-1.7,0.43,-0.54,-0.74,-0.89,-0.64,
,Herbs,H_Achillea,Control,0,Achillea,5,500,Achillea_Control,45m,45,6.51,7.93,400.32,12.84,297.29,0.69,7.82,42.64,2620.4,425.35,128.44,943.787,0.23,475.64,4.92,0.36,16.90140845,28.37767345,16.27543036,38.44548774,10,27,5,0.018000626,0.010734419,-0.005053492,-0.001517087,0.004235679,0.016271609,0.00446,0.01581,H_Achillea,4.135818228,6.944089865,3.982639775,128,0.00091,-0.00423,0.0009,-0.0043,H_Achillea,Control,95.88596035,96.41073678,76.29374266,14.23230035,-1.77,0.76,-0.03,-0.23,-0.43,-0.27,
,Herbs,H_Achillea,Drought,1,Achillea,5,1000,Achillea_Drought,46m,46,6.45,6.53,448.18,20.39,481.27,0.69,7.94,27.79,2805.9,244.09,116.9,2015.58,0.32,293.67,4.38,0.43,20.91621459,32.73056058,15.973478,30.37974684,8,28,7,-0.027405213,0.004695502,-0.025996441,-0.016595331,0.002677963,0.019709624,0.00281,0.01939,H_Achillea,4.571805007,7.154150198,3.4914361,141,0.00054,-0.00906,0.00054,-0.00915,H_Achillea,Drought,95.88596035,96.41073678,76.29374266,14.23230035,0.83,-1.12,0.07,-1.01,-0.39,-0.05,
,Herbs,H_Achillea,Drought,1,Achillea,5,1000,Achillea_Drought,47m,47,6.61,5.67,402.33,9.74,368.02,0.63,6.93,28.8,1453.7,219.68,106.69,2094.08,0.23,408.38,6.08,0.43,27.0096463,16.82743837,41.05037513,15.11254019,6,12,7,-0.014392993,0.024407556,-0.004687309,0.002907428,0.004616897,-0.004198532,0.00478,-0.00625,H_Achillea,3.1742033,1.97757904,4.824285174,94,0.00283,-0.00314,0.00284,-0.00323,H_Achillea,Drought,95.88596035,96.41073678,76.29374266,14.23230035,-1.36,-0.28,-0.5,-0.5,-0.01,0.07,
,Herbs,H_Achillea,Drought,1,Achillea,5,1000,Achillea_Drought,48m,48,6.43,6.56,404.49,15,449.98,0.66,8.05,52.47,2252.8,561.4,87.18,3885.2,0.29,279.4,5.33,0.49,15.47411286,34.78766725,36.94008144,12.79813845,6,14,8,-0.014963488,0.02673578,-0.007436947,0.003205012,0.004546556,-0.00723994,0.00483,-0.00904,H_Achillea,3.904873752,8.778625954,9.321785085,96,0.00303,-0.00362,0.00304,-0.0037,H_Achillea,Drought,95.88596035,96.41073678,76.29374266,14.23230035,0.04,-0.92,-0.1,-0.08,0.17,0.38,
,Herbs,H_Achillea,Drought,1,Achillea,5,1000,Achillea_Drought,49m,49,6.56,6.99,417.01,16.77,398.97,0.72,8.42,34.73,1765.1,198.3,145.57,1944.8,0.31,250.75,5.29,0.52,15.83011583,63.02016302,7.722007722,13.42771343,5,10,4,0.011634788,0.02029473,-0.008566191,-0.00580136,0.001732787,0.024871629,0.0018,0.02491,H_Achillea,4.669703872,18.59023032,2.277904328,76,-0.00044,-0.00238,-0.00047,-0.00245,H_Achillea,Drought,95.88596035,96.41073678,76.29374266,14.23230035,-0.51,-0.57,0.31,-0.38,-0.11,-0.22,
,Herbs,H_Achillea,Drought,1,Achillea,5,1000,Achillea_Drought,50m,50,6.32,9.09,457.47,14.9,413.45,0.68,7.83,22.73,2472.9,634.58,116.82,3463.38,0.3,320.37,4.31,0.41,26.55064703,27.75546631,22.04373048,23.65015618,6,17,7,0.003369388,0.029134855,-0.005404151,-0.00051973,0.005127128,0.012359425,0.00541,0.01163,H_Achillea,7.982291387,8.344513013,6.627314194,101,0.00362,-0.00022,0.00364,-0.00028,H_Achillea,Drought,95.88596035,96.41073678,76.29374266,14.23230035,-0.34,-0.48,0.01,-1.62,-0.39,0.23,
,Herbs,H_Potentilla,Control,0,Potentilla,6,500,Potentilla_Control,61m,61,6.5,10.29,329.73,15.56,465.14,0.71,8.35,27.73,3308.4,282.87,146.2,732.38,0.39,664.74,1.28,0.16,13.82751247,23.9486814,42.97933001,19.24447612,6,21,7,0.005745073,0.022695934,-0.019431734,-0.001969454,0.00950837,-0.010529591,0.01011,-0.01262,H_Potentilla,2.568515822,4.448563485,7.983582682,120,0.00045,-0.01892,0.00044,-0.01904,H_Potentilla,Control,80.6096579,-65.60890897,6.77338605,-6.901892974,0.42,-0.75,0.28,-0.85,-1.32,0.04,
,Herbs,H_Potentilla,Control,0,Potentilla,6,500,Potentilla_Control,62m,62,6.97,12.2,478.53,11.38,357.95,0.63,7.36,48.1,2790.5,385.62,94.41,567.613,0.18,349.81,10.65,0.62,21.2227688,30.7097681,26.84469431,21.2227688,7,16,6,7.74E-05,0.022785237,-0.005645271,0.008065017,0.002559909,0.016035514,0.00265,0.01551,H_Potentilla,3.964295091,5.736413757,5.014439485,102,0.0032,-0.00429,0.0032,-0.00437,H_Potentilla,Control,80.6096579,-65.60890897,6.77338605,-6.901892974,-1.15,0.21,-0.41,1.39,-0.33,-0.93,
,Herbs,H_Potentilla,Control,0,Potentilla,6,500,Potentilla_Control,63m,63,6.71,11.92,489.56,18.74,477.86,0.69,8.32,25,7066.9,388.15,106.69,1545.98,0.26,772.88,2.36,0.2,21.48541114,26.39257294,35.67639257,16.44562334,6,7,5,-0.01280009,-0.043604092,-0.006184064,-0.001121658,-0.000428464,0.023180603,-0.00053,0.02302,H_Potentilla,3.440220854,4.225950308,5.712465492,75,0.0034,0.00035,0.00341,0.00028,H_Potentilla,Control,80.6096579,-65.60890897,6.77338605,-6.901892974,1.4,0.24,0.21,-0.31,-1.53,0.26,
,Herbs,H_Potentilla,Control,0,Potentilla,6,500,Potentilla_Control,64m,64,6.77,8.42,438.62,28.66,481.62,0.64,7.14,25.98,2221.3,301.67,122.47,528.267,0.23,857.14,2.95,0.21,25.34191472,30.49074819,18.5840708,25.58326629,7,17,5,-0.048658798,-0.042586924,-0.023306948,-0.004271136,0.000958725,0.00257996,0.00095,0.00103,H_Potentilla,4.187159378,5.037883823,3.070583544,109,0.00239,-0.01249,0.00239,-0.0126,H_Potentilla,Control,80.6096579,-65.60890897,6.77338605,-6.901892974,1.27,-1.39,-0.38,-0.12,-1.26,0.25,
,Herbs,H_Potentilla,Control,0,Potentilla,6,500,Potentilla_Control,65m,65,6.96,10.22,449.45,14.07,545.16,0.65,7.56,28.24,3482.7,399.09,82.65,1248.88,0.3,697.3,2.09,0.19,17.78058008,27.11223203,30.76923077,24.33795712,8,16,6,-0.022400221,0.01287952,-0.014440213,-3.60E-05,0.002602376,0.013804785,0.0027,0.01323,H_Potentilla,3.661386653,5.582965464,6.336016619,106,0.00366,-0.00742,0.00368,-0.00752,H_Potentilla,Control,80.6096579,-65.60890897,6.77338605,-6.901892974,1.27,-1.49,-0.2,0.57,-1.39,0.19,
,Herbs,H_Potentilla,Drought,1,Potentilla,6,1000,Potentilla_Drought,66m,66,6.61,14.18,532.54,13.24,454.59,0.64,8.05,20.35,5055.5,374.16,78.67,1901,0.25,505.56,4.08,0.32,32.13135866,29.94204765,16.74179008,21.18480361,10,24,5,-0.060950434,-0.04518415,-0.0181016,5.80E-05,0.001463934,0.019188744,0.00151,0.01895,H_Potentilla,6.52458159,6.080020921,3.39958159,124,0.00261,-0.00539,0.00262,-0.00547,H_Potentilla,Drought,80.6096579,-65.60890897,6.77338605,-6.901892974,0.45,-0.09,-0.06,-0.82,-1.29,-0.23,
,Herbs,H_Potentilla,Drought,1,Potentilla,6,1000,Potentilla_Drought,67m,67,6.53,9.75,521.08,14.13,467.57,0.64,6.79,48.52,1925.6,438,83.22,516.507,0.27,442.25,3.95,0.34,26.73758865,25.17730496,32.4822695,15.60283688,6,11,5,-0.020266274,0.025293307,-0.002025613,0.003054203,-0.00012228,0.018766416,-0.00021,0.01832,H_Potentilla,5.300899888,4.991563555,6.439820022,76,0.00364,0.00201,0.00366,0.00196,H_Potentilla,Drought,80.6096579,-65.60890897,6.77338605,-6.901892974,0.13,-1.19,-0.58,0.04,-1.13,-0.44,
,Herbs,H_Potentilla,Drought,1,Potentilla,6,1000,Potentilla_Drought,68m,68,6.4,9.25,429.19,13.8,482.72,0.65,7.19,42.81,2069.8,403.53,80.9,260.18,0.43,612.12,1.12,0.15,24.83745124,35.43563069,20.80624187,18.9206762,6,16,5,0.005746739,0.035688851,-0.014117692,-0.001742941,0.001864827,0.021441161,0.00193,0.0213,H_Potentilla,5.126828614,7.314454436,4.29472554,96,0.00335,8.00E-05,0.00337,1.00E-05,H_Potentilla,Drought,80.6096579,-65.60890897,6.77338605,-6.901892974,0.31,-1.29,-0.39,-0.58,-1.75,-0.01,
,Herbs,H_Potentilla,Drought,1,Potentilla,6,1000,Potentilla_Drought,69m,69,6.95,13.29,453.67,13.26,446.56,0.61,6.75,21.97,2159.2,401.25,81.63,1113.08,0.28,541.38,3.12,0.27,18.55670103,28.68405094,38.26561552,14.4936325,7,16,6,-0.020244574,0.02269003,-0.00327524,0.001889779,0.00016654,0.009569622,0.00013,0.00857,H_Potentilla,3.981264637,6.154046318,8.20973198,94,0.00403,-0.00117,0.00405,-0.00124,H_Potentilla,Drought,80.6096579,-65.60890897,6.77338605,-6.901892974,-0.13,-0.89,-0.6,0.27,-1.25,-0.33,
,Herbs,H_Potentilla,Drought,1,Potentilla,6,1000,Potentilla_Drought,70m,70,6.93,8.46,286.48,18.11,448.08,0.69,7.53,17.98,5224,413.71,69.77,1572.78,0.25,483.83,4.3,0.33,7.722772277,17.62376238,33.10891089,41.54455446,5,17,7,0.00169703,0.033175451,-0.010641764,0.000755919,0.003126168,-0.005554926,0.00332,-0.0074,H_Potentilla,2.543699452,5.804852596,10.90529611,116,0.00267,-0.00445,0.00268,-0.00453,H_Potentilla,Drought,80.6096579,-65.60890897,6.77338605,-6.901892974,0.71,-0.02,-0.03,0.06,-0.1,-0.13,
,Herbs,H_Plantago,Control,0,Plantago,7,500,Plantago_Control,71m,71,6.83,8.68,315.42,9.46,404.24,0.66,7.13,24.79,4080.3,154.41,194.61,3671.7,0.28,195.72,8.12,0.72,21.82347236,20.56256062,43.25897187,14.35499515,7,10,6,-0.015421483,0.025554215,-0.004983551,0.000892253,0.000898625,0.015627638,0.00089,0.01507,H_Plantago,4.153590548,3.913605317,8.233339487,78,0.00355,-0.00176,0.00357,-0.00184,H_Plantago,Control,84.51131952,44.16246403,3.325779239,-9.119017475,-0.53,0.16,-0.3,0.02,0.79,-0.07,
,Herbs,H_Plantago,Control,0,Plantago,7,500,Plantago_Control,72m,72,6.92,6.7,371.01,14.18,399.58,0.62,7.09,77.4,4023.9,150.8,231.95,2194.1,0.25,164.98,12.56,0.98,0,6.451612903,74.19354839,19.35483871,0,1,2,-0.004556361,0.014835102,-0.00493679,-0.004040837,-0.004367198,0.022570861,-0.00478,0.02213,H_Plantago,0,1.265822785,14.55696203,15,0.00122,0.00357,0.00122,0.00352,H_Plantago,Control,84.51131952,44.16246403,3.325779239,-9.119017475,-0.29,0.14,-0.64,2.41,1.02,-0.5,
,Herbs,H_Plantago,Control,0,Plantago,7,500,Plantago_Control,73m(1),73,6.89,6.8,342.25,5.45,340.26,0.66,7.24,58.09,9782.3,202.06,130.05,5815.53,0.23,475,2.29,0.25,0.901577761,7.438016529,0.601051841,91.05935387,1,1,1,-0.008629267,0.010634207,-0.009229141,-0.006872125,-0.005347424,0.022384561,-0.00584,0.02191,H_Plantago,0.345323741,2.848920863,0.230215827,11,0.0003,9.00E-05,0.00028,2.00E-05,H_Plantago,Control,84.51131952,44.16246403,3.325779239,-9.119017475,-0.57,2.59,-0.38,1.54,0.25,1.19,
,Herbs,H_Plantago,Control,0,Plantago,7,500,Plantago_Control,74m,74,6.82,6.6,307.91,8.91,335.9,0.62,7.24,32.66,3869.9,141.15,209.43,3316.2,0.27,169.06,10.61,0.89,27.6816609,14.87889273,26.64359862,30.79584775,6,6,4,-0.012630598,0.014784896,-0.016752474,-0.009090954,0.00070972,0.025128082,0.0007,0.02518,H_Plantago,3.799572548,2.042270245,3.657088578,73,0.00204,-0.00573,0.00204,-0.00583,H_Plantago,Control,84.51131952,44.16246403,3.325779239,-9.119017475,-1.38,0.79,-0.44,0.31,1.18,-0.15,
,Herbs,H_Plantago,Control,0,Plantago,7,500,Plantago_Control,75m,75,6.78,5.22,374.67,11.27,360.57,0.63,6.93,82.77,3934.2,179.37,163.25,1950.08,0.28,163.33,10.28,0.89,32.46618106,16.3371488,40.16649324,11.0301769,7,10,5,-0.01624805,0.007988465,-0.010502748,-0.003322793,0.000796352,0.017720001,0.00077,0.01728,H_Plantago,5.40166205,2.718144044,6.682825485,93,0.00229,-0.00845,0.00229,-0.00856,H_Plantago,Control,84.51131952,44.16246403,3.325779239,-9.119017475,-0.93,0.54,-0.68,2.19,0.84,-0.42,
,Herbs,H_Plantago,Drought,1,Plantago,7,1000,Plantago_Drought,76m,76,6.76,6.25,335.3,9.21,410.68,0.64,7.77,34.15,4310.2,235.13,92.5,6200.08,0.34,180,6.06,0.65,16.94915254,25.83461736,24.9614792,32.2547509,8,23,6,-0.004809845,0.016849487,-0.011542876,-0.000634028,0.001752788,0.015908833,0.00182,0.01537,H_Plantago,4.312598014,6.573444851,6.351280711,137,0.00198,-0.00491,0.00198,-0.00497,H_Plantago,Drought,84.51131952,44.16246403,3.325779239,-9.119017475,-0.43,0.17,-0.19,0.19,0.87,0.87,
,Herbs,H_Plantago,Drought,1,Plantago,7,1000,Plantago_Drought,77m,77,6.71,4.68,376.84,16.54,413.44,0.64,6.83,68.15,2645.8,187,80.94,5183.58,0.29,139.53,11.12,1,21.48050231,24.322538,34.83146067,19.36549901,7,19,6,-0.002170314,0.029052408,-0.006571637,0.007874627,0.000657229,0.015190359,0.00064,0.01454,H_Plantago,4.309201803,4.87934235,6.987536462,117,0.00466,-0.00616,0.00468,-0.00625,H_Plantago,Drought,84.51131952,44.16246403,3.325779239,-9.119017475,-0.21,-0.45,-0.63,1.38,1.38,0.47,
,Herbs,H_Plantago,Drought,1,Plantago,7,1000,Plantago_Drought,78m,78,6.5,7.49,400.42,8.68,243.97,0.63,6.79,27.88,2599.3,151.26,229.34,2372.613,0.26,196.76,9.42,0.78,16.02272727,10.03787879,62.99242424,10.9469697,7,11,8,-0.033933174,0.007742457,-0.006036467,-0.001116167,0.002182971,-0.014434285,0.00235,-0.01673,H_Plantago,5.927690583,3.713565022,23.3043722,85,0.0021,-0.00992,0.0021,-0.01004,H_Plantago,Drought,84.51131952,44.16246403,3.325779239,-9.119017475,-2.65,1.33,-0.54,-0.88,0.54,-0.36,
,Herbs,H_Plantago,Drought,1,Plantago,7,1000,Plantago_Drought,79m,79,6.79,5.08,388.38,6.92,325.68,0.65,7.14,38.9,3167.9,183.47,213.12,5264.693,0.29,125.32,12.37,1.11,29.54990215,8.219178082,52.34833659,9.88258317,5,6,5,-0.020654674,0.010280758,-0.00765282,-0.003569246,0.0026284,0.012428913,0.00273,0.01149,H_Plantago,4.908174874,1.365187713,8.694945555,70,0.00252,-0.00903,0.00252,-0.00915,H_Plantago,Drought,84.51131952,44.16246403,3.325779239,-9.119017475,-1.74,0.7,-0.38,0.46,1.49,0.42,
,Herbs,H_Plantago,Drought,1,Plantago,7,1000,Plantago_Drought,80m,80,6.57,12.43,337.68,10.88,350.76,0.69,11.36,26.09,4089.7,179.6,228.06,4154.567,0.37,133.78,7.03,0.81,34.29776974,30.31946956,23.68896926,11.69379144,8,16,5,-0.043837946,-0.021108945,-0.021174192,-0.008868122,0.003598038,0.017194749,0.0038,0.01668,H_Plantago,7.337201805,6.486137975,5.067698259,113,0.00034,-0.02286,0.00033,-0.02304,H_Plantago,Drought,84.51131952,44.16246403,3.325779239,-9.119017475,-1.04,0.69,1.21,-0.63,0.46,-0.17,
,Herbs,H_Hieracium,Control,0,Hieracium,8,500,Hieracium_Control,81m,81,6.4,13.37,411.9,23.61,408.46,0.61,6.52,67.53,3066.2,44.98,159.95,530.533,0.27,264.44,6.53,0.56,31.20936281,11.70351105,20.93628088,36.15084525,5,9,3,0.000648002,0.027316642,-0.005113787,-0.000479588,-0.001407711,0.023857241,-0.00159,0.02365,H_Hieracium,3.123373243,1.171264966,2.095262884,87,0.00129,-0.00777,0.00129,-0.00787,H_Hieracium,Control,95.68602831,95.66174217,75.41017096,14.00810448,0.26,-0.34,-0.85,0.39,-0.44,-1.06,
,Herbs,H_Hieracium,Control,0,Hieracium,8,500,Hieracium_Control,82m,82,6.58,11.98,333615,19.42,449.84,0.64,7.68,16.02,5723.6,91.04,240.92,398.98,0.32,381.55,3.21,0.33,20.80536913,18.68008949,36.35346756,24.16107383,6,15,4,-0.052233345,-0.044250884,-0.017718047,0.002213812,0.005135825,0.004282345,0.00531,0.00279,H_Hieracium,4.804339403,4.31357355,8.394679065,95,0.00293,-0.0088,0.00294,-0.00892,H_Hieracium,Control,95.68602831,95.66174217,75.41017096,14.00810448,0.9,0.1,-0.16,-1.09,-0.71,-0.74,
,Herbs,H_Hieracium,Control,0,Hieracium,8,500,Hieracium_Control,83m,83,6.38,14.1,299.9,30.91,535.27,0.61,6.81,50.42,3026.4,115.05,264.06,117.04,0.27,284.13,6.19,0.52,17.19971571,20.89552239,43.07036247,18.83439943,6,11,6,0.000211886,0.031945915,-0.013950181,-0.004627192,0.000257118,0.009604056,0.00021,0.00862,H_Hieracium,3.230974633,3.925233645,8.090787717,94,0.00324,-0.00542,0.00325,-0.00552,H_Hieracium,Control,95.68602831,95.66174217,75.41017096,14.00810448,2.16,-1.71,-0.69,-0.35,-0.21,-1.23,
,Herbs,H_Hieracium,Control,0,Hieracium,8,500,Hieracium_Control,84m,84,6.47,9.76,273.36,22.56,527.15,0.62,7.49,38.95,4364.3,66.43,334.72,1292.9,0.28,320.21,5.23,0.45,24.47229551,18.60158311,39.24802111,17.67810026,9,11,6,-0.020234925,-0.025099146,-0.014334618,-0.004096618,0.00039492,0.013350191,0.00036,0.01266,H_Hieracium,4.838288993,3.677621283,7.759520083,102,0.00383,-0.00653,0.00385,-0.00664,H_Hieracium,Control,95.68602831,95.66174217,75.41017096,14.00810448,1.75,-1.13,-0.39,-0.52,0.09,-0.56,
,Herbs,H_Hieracium,Control,0,Hieracium,8,500,Hieracium_Control,85m,85,6.66,10.69,349.3,19.6,437.88,0.67,7.18,21.83,3746.2,176.12,185.41,527.3,0.25,309.94,6.79,0.52,24.2795389,30.83573487,30.97982709,13.90489914,7,10,5,0.002799937,0.027765361,-0.009370994,-0.001083356,-6.12E-05,0.01920717,-0.00014,0.01886,H_Hieracium,5.254131587,6.672903025,6.704084814,82,0.00354,-0.00202,0.00356,-0.00209,H_Hieracium,Control,95.68602831,95.66174217,75.41017096,14.00810448,0.45,-0.39,-0.24,-0.62,-0.11,-0.86,
