Unit,PlantGroup,Specie,Tto,DroughtNum,Sp,Specie_number,tto_number,ST,Pot,PotN,pH,rootN,rootC,leafN,leafC,soilN,soilC,WSA,shootmass,LDMC,SLA,rootmass,diameter,RTD,SRL,SRSA,PathogensOLD,SaprotrophsOLD,MutualistsOLD,MIXOLD,S_Patho,S_Sapro,S_Mutual,PCo1_Patho,PCo2_Patho,PCo1_Sapro,PCo2_Sapro,PCo1_Mutual_EMF,PCo2_Mutual_EMF,PCo1_Mutual,PCo2_Mutual,SpecieY,Pathogens2,Saprotrophs2,Mutualists2,S_ALL,PCo1_ALL_EMF,PCo2_ALL_EMF,PCo1_ALL,PCo2_ALL,Speciex,Ttox,Phylog_1,Phylog_2,Phylog_3,Phylog_4,CP1_leaft,CP2_leaft,CP1_soilprop,CP2_soilprop,CP1_root,CP2_root,ID_phase1
"CP1_root (root mass, rootN, rootC, diameter, RTD, SRSA) SRL not included porq para eso esta SRSA. Lo habia quitado en el varpart.",Herbs,H_Berteroa,Control,0,Berteroa,2,500,Berteroa_Control,11m,11,6.63,14.25,378.34,21.18,297.9,0.76,8.94,52.91,2863.7,138.2,284.52,750.667,0.29,342.06,4.52,0.41,15.6920078,41.95906433,8.576998051,33.77192982,9,29,4,0.005533403,0.015149909,-0.003301245,0.005868884,-0.002380203,-0.011990763,0.00089,0.02491,H_Berteroa,4.145211123,11.08393409,2.252832132,145,0.0014,-0.00441,0.00177,-0.00332,H_Berteroa,Control,75.98118122,-38.33992139,-5.20691025,-21.67265094,-1.19,0.74,0.58,0.58,-0.7,-0.88,11
biomass (mg),Herbs,H_Berteroa,Control,0,Berteroa,2,500,Berteroa_Control,12m,12,6.98,18.32,361.25,10.22,202.29,0.65,7.57,28.02,5692.7,173.99,254.04,1192.287,0.26,464.21,3.92,0.33,15.53684211,38.10526316,22.27368421,24.08421053,9,27,7,-0.014678425,0.026267063,-0.016231877,-0.002663742,0.001769307,-0.011980053,0.00189,-0.01442,H_Berteroa,4.676213408,11.46876188,6.703839818,149,0.00194,-0.00321,0.00195,-0.00325,H_Berteroa,Control,75.98118122,-38.33992139,-5.20691025,-21.67265094,-2.51,2.68,-0.2,0.62,-0.96,-0.83,12
,Herbs,H_Berteroa,Control,0,Berteroa,2,500,Berteroa_Control,13m,13,6.67,16255,385.2,17.59,335.96,0.62,7.35,35.93,3757,169.49,203.13,721,0.25,415.69,5.02,0.39,16.28032345,44.42048518,14.01617251,25.28301887,7,34,4,-0.018354934,0.024765271,0.004814056,9.53E-05,0.000971936,0.012292525,0.00096,0.01137,H_Berteroa,3.922077922,10.7012987,3.376623377,145,0.00086,0.00121,0.00086,0.00118,H_Berteroa,Control,75.98118122,-38.33992139,-5.20691025,-21.67265094,-0.84,0.66,-0.42,-0.02,-0.82,-0.93,13
Mutualists 2 includes EMF,Herbs,H_Berteroa,Control,0,Berteroa,2,500,Berteroa_Control,14m,14,6.64,13.41,407.88,28.92,394.99,0.61,7.1,26.01,2947.6,151.25,269.22,782.567,0.16,304.07,16.49,0.83,33.10397554,22.70642202,27.14067278,17.04892966,5,12,5,-0.000933047,0.031542671,-0.013979868,-0.005250738,-0.001740191,0.020251782,-0.00196,0.01984,H_Berteroa,7.682753726,5.269694819,6.298793471,87,0.00303,-0.00079,0.00304,-0.00086,H_Berteroa,Control,75.98118122,-38.33992139,-5.20691025,-21.67265094,0.42,-0.3,-0.5,-0.52,0.28,-1.14,14
,Herbs,H_Berteroa,Control,0,Berteroa,2,500,Berteroa_Control,15m,15,6.55,19.04,393.36,27.79,399.2,0.67,8.64,43.64,2524.6,150.43,256.23,756.28,0.53,367.73,1.22,0.2,17.10526316,37.77412281,15.95394737,29.16666667,8,23,6,-0.018460027,-0.026299287,-0.000204993,0.001660315,-0.000386121,0.014940708,-0.00046,0.0141,H_Berteroa,3.929471033,8.677581864,3.664987406,110,0.00012,-0.00098,0.00011,-0.00104,H_Berteroa,Control,75.98118122,-38.33992139,-5.20691025,-21.67265094,0.33,-0.46,0.17,-0.05,-2.1,-0.78,15
,Herbs,H_Berteroa,Drought,1,Berteroa,2,1000,Berteroa_Drought,16m,16,6.78,3.79,233.95,25.59,379.37,1.53,16.18,55.66,2820.1,139.3,317.05,947.767,0.2,334.87,9.58,0.6,21.12825971,56.25332624,8.142629058,14.47578499,5,16,5,0.007417273,0.033847903,0.004144001,-0.00854274,-0.001625225,0.025090076,-0.00181,0.02508,H_Berteroa,4.993082631,13.29392529,1.924286253,92,-0.00059,0.00773,-0.0006,0.0077,H_Berteroa,Drought,75.98118122,-38.33992139,-5.20691025,-21.67265094,0.01,-0.15,5.86,1.34,0.97,-0.42,16
,Herbs,H_Berteroa,Drought,1,Berteroa,2,1000,Berteroa_Drought,17m,17,7.03,20.16,424.64,24.85,328.9,1.34,15.38,29.73,2419.6,174.9,228.68,551.68,0.24,354.17,6.24,0.47,33.52769679,47.2303207,4.956268222,14.28571429,6,10,3,-0.010905206,-0.058962902,0.004480969,-0.001364437,-0.00391421,0.024659996,-0.00429,0.02442,H_Berteroa,4.537682494,6.3922136,0.670787847,68,0.00028,0.00595,0.00026,0.00592,H_Berteroa,Drought,75.98118122,-38.33992139,-5.20691025,-21.67265094,-0.68,0.25,4.98,1.05,-0.99,-1.33,17
,Herbs,H_Berteroa,Drought,1,Berteroa,2,1000,Berteroa_Drought,18m,18,6.64,16.09,457.39,24.31,384.26,0.68,7.29,26.86,2107.7,126.91,289.47,641.367,0.22,261.39,10.27,0.7,12.24846894,49.8687664,7.611548556,30.2712161,4,15,4,-0.002781156,0.02625679,0.006459372,0.000749666,-0.002308052,0.025919791,-0.00255,0.02582,H_Berteroa,3.177485247,12.93690422,1.974580118,81,0.00183,0.01031,0.00183,0.01029,H_Berteroa,Drought,75.98118122,-38.33992139,-5.20691025,-21.67265094,-0.13,-0.4,-0.18,-0.48,-0.39,-1.27,18
,Herbs,H_Berteroa,Drought,1,Berteroa,2,1000,Berteroa_Drought,19m,19,6.78,17.81,428.17,12.46,288.26,0.5,6.32,19.67,2794.9,195.18,184.53,846.473,0.24,518.66,4.14,0.32,22.44897959,47.53901561,7.923169268,22.08883553,4,16,4,0.008197688,0.030645511,-0.012114145,-0.008549096,0.002852066,0.022238507,0.00294,0.022,H_Berteroa,5.062948423,10.72153784,1.786922973,99,-0.0006,0.00693,-0.00062,0.00689,H_Berteroa,Drought,75.98118122,-38.33992139,-5.20691025,-21.67265094,-1.87,0.9,-1.15,-0.36,-1.22,-0.79,19
,Herbs,H_Berteroa,Drought,1,Berteroa,2,1000,Berteroa_Drought,20m,20,6.67,5.43,418,21.44,355.5,1.26,14.04,20.39,3436.8,209.68,158.97,662.267,0.23,397.2,6.03,0.44,29.8019802,43.06930693,10.3960396,16.73267327,6,10,4,-0.002851032,0.022497034,2.39E-05,-0.005130824,-0.000811349,0.025744077,-0.00093,0.02571,H_Berteroa,5.539197644,8.005152742,1.932278248,76,0.00173,0.0057,0.00173,0.00567,H_Berteroa,Drought,75.98118122,-38.33992139,-5.20691025,-21.67265094,-0.42,0.33,4.26,-0.47,-0.19,-0.33,20
